i,RECONSTRUCTION_RUNTIME (in min),CUBE_FIBRES_RUNTIME (in min),CUBE_FIBRES_RUNTIME (in MM:SS),CUBE_FIBRES_ZNCC,X (in um),Y (in um),ROT (in degree),W (in um),H (in um),RADIUS_CORE (in um),RADIUS_FIBRE (in um),RADIUS_CORE (in pixels),RADIUS_FIBRE (in pixels),FIBRE_ITER,FIBRE_FEVAL,FIBRE_IND,AVG,STDDEV,MIN,MAX
1,.18768884738286336666,65.39147327740987166666,.04541074533153463310,0.38548541077838927,-155.959400955144091648,-104.593478683804557312,180.3765137391201684,1794.04180297593906176,1785.23478434624097791217,93.40352514447898,98.86386977712179,49.15975007604156842105,52.03361567216936315789,270,2430,9,39.18023036496938,37.44736448313495,-61.78996671650913,246.30615788727545
2,.18768073320388793333,45.23858350118001666666,.03141568298693056712,0.3875172624123133,-938.198227079897439232,403.72528738770889728,179.56059819395605315,1390.898850758438465536,573.93677147755800610312,93.50943115397489,100.98927196072411,49.21549008103941578947,53.15224840038111052631,187,1683,9,37.79651267356899,40.71369473652896,-91.46481276776301,194.84348299704575
4,.18699393669764200000,70.39437338511148333333,.04888498151743853009,0.38683305211373165,30.750271891577038848,-31.9183927440594285568,180.03344951960645659,1903.4571314022210560,1615.25314843879534507379,92.0373838526835,96.92876397506946,48.44072834351763157894,51.01513893424708421052,292,2628,9,38.522163954578204,36.31813972288929,-48.255589900329426,187.2211510587959
5,.20658776760101318333,72.98958146969476666666,.05068720935395469907,0.3877039656961338,-121.233738177493112832,438.898225437357582336,179.951781562334559794,1945.597176016425587712,825.19746694113469768007,93.60681284213652,101.0558725890528,49.26674360112448421052,53.18730136265936842105,292,2628,9,38.393326926808896,39.1306588814329,-89.43911674509683,190.82000070639992
6,.18750827709833781666,53.67591000795364333333,.03727493750552336342,0.3852912854351981,-186.396253858639456256,-260.660133774754648064,180.1119287877318339,1894.53248602552855552,1012.55449157987483263933,94.2159632103013,100.08421464283211,49.58734905805331578947,52.67590244359584736842,221,1989,9,38.633157177268636,39.704213898388645,-86.60512172255143,202.57387505948068
7,.20265630086263020000,79.53972791035970000000,.05523592215997201388,0.3817671978232954,-35.232488579914255360,-233.53354972864586752,179.62506794801903576,1901.95870173433747456,1901.82410852690310342998,93.45388434039671,98.4581097459039,49.18625491599826842105,51.82005776100205263157,323,2907,9,39.54229640189423,37.135251483136805,-55.43901114277885,258.83988267206655
8,.18748528162638346666,51.21370118856430000000,.03556507026983631944,0.3872862395033929,-961.36186348971404288,488.898446019872515072,179.5691489901014779,1204.313978793046049792,549.24875620397498551971,93.69466366004636,100.90375407394994,49.31298087370861052631,53.10723898628944210526,213,1917,9,37.86899188296322,40.863819778227736,-90.98302406437438,203.28129518575568
9,.19252246220906575000,54.77739159266154000000,.03803985527268162500,0.38672637698714263,-105.795464132370084864,-436.781925664144175104,180.03883940129581065,1945.546608343891582976,826.89818158426719279919,93.8573361681454,99.41110310492982,49.39859798323442105263,52.32163321312095789473,219,1971,9,38.46687391718488,39.43183694312088,-80.670074432447,210.49975323919537
10,.18739884297053020000,47.86265528599421166666,.03323795505971820254,0.38788042206873813,-112.424442226977404928,-428.811217420558667776,179.54829996157093724,1945.526263452263501824,782.91670940586842536593,93.36575683153006,99.67818874758298,49.13987201659476842105,52.46220460399104210526,201,1809,9,38.14778940458037,39.26799597854178,-80.57062277922839,182.08096053956433
11,.18695588509241740000,45.42141867478688333333,.03154265185749089120,0.3870185202477003,-820.969376965864146944,686.53250274421496832,180.021025040995775512,641.161846970978414592,622.51726056174230732840,93.68004498360997,101.09245278949166,49.30528683347893157894,53.20655409973245263157,187,1683,9,37.82620940601036,40.94569317834462,-90.95138015101432,198.04786381417412
12,.18735535144805908333,54.48024122714996666666,.03783350085218747685,0.38964490704667865,-80.565336967305313280,12.055015901563357184,180.34705843662158375,1930.25757553114600448,1465.19891249552139162052,93.04014571865696,98.20875701345525,48.96849774666155789473,51.68881948076592105263,220,1980,9,38.629225607153536,37.59967489688364,-69.44565829145377,187.62047179998012
13,.22268934249877930000,44.75271268685658833333,.03107827269920596412,0.3869604045566598,-806.159249167834013696,718.636771526858952704,180.49746546251767987,677.41494383296454656,608.17553274621194057112,93.69171828312483,98.62571184977453,49.31143067532885789473,51.90826939461817368421,168,1512,9,37.81278486560959,40.93902169084785,-91.04821707140157,203.71582412095552
14,.18698337078094483333,36.23081331253051666666,.02516028702259063657,0.38868986225970736,6.9945741196682323968,345.376894179285725184,179.5223159715282669,1872.757954890800204800,743.51049590749163354399,92.41793252604641,99.11670083458472,48.64101711897179473684,52.16668464978143157894,150,1350,9,37.51725910611548,39.11298955832379,-84.26924527840193,165.5772115600906
15,.22385834852854410000,58.11257430315017666666,.04035595437718762268,0.38610531947365706,-175.836311741714684928,23.4699770667567017984,179.89899394090678797,1923.52878369273982976,1614.61649184070950642101,93.48127962255548,99.86723339464153,49.20067348555551578947,52.56170178665343684210,216,1944,9,39.131057208216696,37.61056719995831,-71.43145613011886,238.03185640970406
16,.18697798649470011666,63.61634573141733833333,.04417801786903981828,0.387260870848713,-130.950288008875388928,-435.299380248940004352,180.051020010382101244,1945.395058682569079808,830.56479632345844093669,93.6947747930429,99.07467291765195,49.31303936475942105263,52.14456469350102631578,261,2349,9,38.38741262351435,39.288434128692714,-78.61679600610823,191.88363156981848
17,.18704648017883300000,50.57646456956863333333,.03512254483997821759,0.6679639550435889,-374.159474935660142592,-549.693940431427149824,179.5426997693513674,466.255737027036275712,106.10336367385266416525,3.963988090753398,100.70062890215384,2.08630952144915684210,53.00033100113360000000,209,1881,9,1.5133933469587055,4.525745253157657,-11.138476076469136,142.99682384619078
18,.22465959787368775000,54.40835653543472333333,.03778358092738522453,0.38721716343889917,-113.842386980981478400,423.572408336406345728,180.4519067688350519,1945.368427468516848640,871.87927761250066549380,93.85184045460919,99.13921801858152,49.39570550242588947368,52.17853579925343157894,200,1800,9,38.56584482739508,39.15046988343736,-88.72498749982817,209.2031004611462
19,.18708055416742960000,39.94086863199870000000,.02773671432777687500,0.3887889590512764,818.0762546462977024,-739.40814656745631744,179.5030292912101974,608.023296020899875840,551.10733840836712228503,93.49946406504753,102.38522839241072,49.21024424476185789473,53.88696231179511578947,165,1485,9,37.65092944679359,40.95634251060558,-90.31211206304958,199.19908438654434
20,.18723607063293456666,57.89721565246581666666,.04020639975865681712,0.3875431755037418,-104.5886548121242874880,441.301465140232809472,179.96178917026011357,1943.8147516053761024,807.76915635278254947208,93.75082356596725,99.07448162815619,49.34253871893013157894,52.14446401481904736842,239,2151,9,38.4428176513356,39.25818891682097,-88.79995908323863,201.1759293768446
21,.20989644130071005000,36.31014776229858333333,.02521538039048512731,0.38639158687152086,-169.897349193220232192,328.530713746848231424,180.39811281242198504,1941.958806220663954432,1065.42666287599226248648,91.78791361134373,96.67000073764888,48.30942821649670000000,50.87894775665730526315,147,1323,9,37.61016966077731,37.7438994128118,-90.38535635546833,169.3785450802487
22,.20866000254948933333,96.23038892745971666666,.06682665897740258101,0.5956476914894383,-303.120773536601336832,-737.952652574644894720,179.88260803460938897,40.767860882197979136,18.68889486641790148111,2.876635077100615,97.45903799426486,1.51401846163190263157,51.29423052329729473684,388,3492,9,1.3397515634498351,3.2655621327567617,-7.002075433929093,98.76188822512599
23,.21032547950744628333,37.82411501010259000000,.02626674653479346527,0.388824225971653,-957.377854442594064384,180.435579347406637056,180.49997519875614066,1401.544660713741481984,560.15642635576243468934,93.3635491823308,100.03735765960157,49.13871009596357894736,52.65124087347451052631,152,1368,9,37.67423142189186,40.72022344366108,-91.5405304799833,187.46499847098548
24,.20801176627477010000,75.19933388233185000000,.05222175964050822916,0.38422862547246295,10.4016579391671250944,118.4574380967191691264,179.56913789574042384,1901.95766957594652672,1869.64386794896516642529,92.83019671506794,98.12024665453767,48.85799827108838947368,51.64223508133561578947,306,2754,9,39.3867331690271,36.01643110340233,-49.932472237318485,235.3354774020171
25,.28569632371266683333,55.77166448831558333333,.03873032256133026620,0.3895682100448538,-435.177170190807375872,-216.336557911274573824,179.7094838086658406,1945.59712031120513024,577.61769284588891064595,93.8225656464924,98.78484764181677,49.38029770868021052631,51.99202507464040526315,158,1422,9,38.07581915181958,40.12096832923584,-83.20929692091744,190.14772909266233
26,.20166586240132650000,119.07566704352696666666,.08269143544689372685,0.6067951026679824,-968.397859131046273024,677.38276286353747968,180.4706329087770205,1164.852452181883467776,.00534273740144948902,2.9753979712417737,97.08588052003242,1.56599893223251247368,51.09783185264864210526,484,4356,9,1.3398907213290838,3.3378754698344637,-6.680338405812283,102.54675545331045
27,.17941697041193645000,64.64293237129847166666,.04489092525784616087,0.388828641291529,-69.8803086152984576,485.107227593833504768,179.959403887729283866,1841.7340506771636224,705.66347302598695919005,93.60518284974145,99.05772676958351,49.26588571039023684210,52.13564566820184736842,201,1809,9,38.17438786665546,39.55161656679719,-89.73257964697403,192.3586802208707
28,.24734922250111898333,53.00050127506256166666,.03680590366323789004,0.38793722756457283,-790.61103849359090688,512.755765934662754304,179.59113408483955865,1397.748645346860479488,509.06514508099177859896,93.37010008763038,98.89289793277024,49.14215794085809473684,52.04889364882644210526,175,1575,9,37.6647688592257,40.66431285111448,-91.58144722428142,186.6781055253339
29,.23039859930674235000,56.09212693770726666666,.03895286592896337962,0.3871477885470701,-13.7742734529187606528,24.2281458523891612672,179.59282824639380416,1796.71102766201468928,1395.75457670151658889248,94.16479175099296,102.21917026267957,49.56041671104892631578,53.79956329614714210526,181,1629,9,38.89342217951481,38.91479193262953,-81.06705311125809,196.35867901895583
